2023-05-31 17:39:30.421 [flink-akka.actor.default-dispatcher-8] INFO  o.a.flink.runtime.executiongraph.ExecutionGraph - Source: Collection Source (1/1) (a7dd682a51c2b85db08c003ffc75921e_bc764cd8ddf7a0cff126f51c16239658_0_0) switched from CREATED to SCHEDULED.
2023-05-31 17:39:30.421 [flink-akka.actor.default-dispatcher-8] INFO  o.a.flink.runtime.executiongraph.ExecutionGraph - Flat Map -> Sink: Print to Std. Out (1/12) (a7dd682a51c2b85db08c003ffc75921e_20ba6b65f97481d5570070de90e4e791_0_0) switched from CREATED to SCHEDULED.
2023-05-31 17:39:30.421 [flink-akka.actor.default-dispatcher-8] INFO  o.a.flink.runtime.executiongraph.ExecutionGraph - Flat Map -> Sink: Print to Std. Out (2/12) (a7dd682a51c2b85db08c003ffc75921e_20ba6b65f97481d5570070de90e4e791_1_0) switched from CREATED to SCHEDULED.
2023-05-31 17:39:30.421 [flink-akka.actor.default-dispatcher-8] INFO  o.a.flink.runtime.executiongraph.ExecutionGraph - Flat Map -> Sink: Print to Std. Out (3/12) (a7dd682a51c2b85db08c003ffc75921e_20ba6b65f97481d5570070de90e4e791_2_0) switched from CREATED to SCHEDULED.
2023-05-31 17:39:30.421 [flink-akka.actor.default-dispatcher-8] INFO  o.a.flink.runtime.executiongraph.ExecutionGraph - Flat Map -> Sink: Print to Std. Out (4/12) (a7dd682a51c2b85db08c003ffc75921e_20ba6b65f97481d5570070de90e4e791_3_0) switched from CREATED to SCHEDULED.
2023-05-31 17:39:30.421 [flink-akka.actor.default-dispatcher-8] INFO  o.a.flink.runtime.executiongraph.ExecutionGraph - Flat Map -> Sink: Print to Std. Out (5/12) (a7dd682a51c2b85db08c003ffc75921e_20ba6b65f97481d5570070de90e4e791_4_0) switched from CREATED to SCHEDULED.
2023-05-31 17:39:30.422 [flink-akka.actor.default-dispatcher-8] INFO  o.a.flink.runtime.executiongraph.ExecutionGraph - Flat Map -> Sink: Print to Std. Out (6/12) (a7dd682a51c2b85db08c003ffc75921e_20ba6b65f97481d5570070de90e4e791_5_0) switched from CREATED to SCHEDULED.
2023-05-31 17:39:30.422 [flink-akka.actor.default-dispatcher-8] INFO  o.a.flink.runtime.executiongraph.ExecutionGraph - Flat Map -> Sink: Print to Std. Out (7/12) (a7dd682a51c2b85db08c003ffc75921e_20ba6b65f97481d5570070de90e4e791_6_0) switched from CREATED to SCHEDULED.
2023-05-31 17:39:30.422 [flink-akka.actor.default-dispatcher-8] INFO  o.a.flink.runtime.executiongraph.ExecutionGraph - Flat Map -> Sink: Print to Std. Out (8/12) (a7dd682a51c2b85db08c003ffc75921e_20ba6b65f97481d5570070de90e4e791_7_0) switched from CREATED to SCHEDULED.
2023-05-31 17:39:30.422 [flink-akka.actor.default-dispatcher-8] INFO  o.a.flink.runtime.executiongraph.ExecutionGraph - Flat Map -> Sink: Print to Std. Out (9/12) (a7dd682a51c2b85db08c003ffc75921e_20ba6b65f97481d5570070de90e4e791_8_0) switched from CREATED to SCHEDULED.
2023-05-31 17:39:30.422 [flink-akka.actor.default-dispatcher-8] INFO  o.a.flink.runtime.executiongraph.ExecutionGraph - Flat Map -> Sink: Print to Std. Out (10/12) (a7dd682a51c2b85db08c003ffc75921e_20ba6b65f97481d5570070de90e4e791_9_0) switched from CREATED to SCHEDULED.
2023-05-31 17:39:30.422 [flink-akka.actor.default-dispatcher-8] INFO  o.a.flink.runtime.executiongraph.ExecutionGraph - Flat Map -> Sink: Print to Std. Out (11/12) (a7dd682a51c2b85db08c003ffc75921e_20ba6b65f97481d5570070de90e4e791_10_0) switched from CREATED to SCHEDULED.
2023-05-31 17:39:30.422 [flink-akka.actor.default-dispatcher-8] INFO  o.a.flink.runtime.executiongraph.ExecutionGraph - Flat Map -> Sink: Print to Std. Out (12/12) (a7dd682a51c2b85db08c003ffc75921e_20ba6b65f97481d5570070de90e4e791_11_0) switched from CREATED to SCHEDULED.
2023-05-31 17:39:30.436 [flink-akka.actor.default-dispatcher-8] INFO  org.apache.flink.runtime.jobmaster.JobMaster - Connecting to ResourceManager akka://flink/user/rpc/resourcemanager_1(a4b15ebb0c668164abb454eb25c646a2)
2023-05-31 17:39:30.437 [flink-akka.actor.default-dispatcher-7] INFO  org.apache.flink.runtime.jobmaster.JobMaster - Resolved ResourceManager address, beginning registration
2023-05-31 17:39:30.438 [flink-akka.actor.default-dispatcher-7] INFO  o.a.f.r.resourcemanager.StandaloneResourceManager - Registering job manager b31c66e3a74687b8e1cf3635a7c147cb@akka://flink/user/rpc/jobmanager_3 for job e14dd5d7679c9d9f3f0a665935f8a033.
2023-05-31 17:39:30.441 [flink-akka.actor.default-dispatcher-6] INFO  o.a.f.r.resourcemanager.StandaloneResourceManager - Registered job manager b31c66e3a74687b8e1cf3635a7c147cb@akka://flink/user/rpc/jobmanager_3 for job e14dd5d7679c9d9f3f0a665935f8a033.
